Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,2.710886791
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,3.936625257
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,4.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,2.58355481
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,1.00128936
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,3.862012187
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-1.611001621
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,8.3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,4.263719415
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.4419922
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,-0.954962367
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,1.123974327
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahamas,BHS,2.639055981
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,2.980792767
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.77511237
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,4.09382011
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,3.886242145
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.251700632
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,1.149016821
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,6.352821609
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,-0.094823593
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,3.081965241
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,2.211124472
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,2.73379817
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,2.908480487
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,1.407068323
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,1.886814839
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,2.960181474
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,2.700000597
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,5.475435916
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,4.960066589
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,3.248344978
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,1.248927304
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,4.359675957
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,0.870251451
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,4.12231962
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,3.715005661
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,0.218780667
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,5.249557864
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,0.610409566
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,2.995674572
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Congo Dem. Rep.,COD,8.560862509
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Congo Rep.,COG,1.906864263
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,5.111921832
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,6.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,3.302544881
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,-1.928992112
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,4.202
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,2.611900909
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czechia,CZE,-0.085330276
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,2.495184331
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,6.676649644
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,4.712238185
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,2.360615687
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,2.355217907
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Egypt,EGY,3.758700552
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,3.510977066
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,-5.089308721
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,-3.023035841
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eswatini,SWZ,5.014904713
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,6.498134642
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Faroe Islands,FRO,2.489058117
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fiji,FJI,7.524290882
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,-1.163962815
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,0.936487503
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gabon,GAB,2.445880831
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gambia,GMB,4.797508952
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,7.832201215
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,-0.26643841
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,2.944785831
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gibraltar,GIB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,2.332123883
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greenland,GRL,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Grenada,GRD,3.566128618
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guam,GUM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,3.526792142
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea,GIN,6.744934446
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea-Bissau,GNB,5.199268297
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guyana,GUY,33.80261709
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,-1.863884203
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,3.582603626
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hong Kong,HKG,3.276526256
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hungary,HUN,-0.907685956
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iceland,ISL,5.03717944
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,8.152936311
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,5.048105771
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iran,IRN,5.044890511
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iraq,IRQ,-2.93555774
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ireland,IRL,-5.530007361
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Isle of Man,IMN,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,2.42300691
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,0.697632994
